3000001,civil_engineering3000001-1517587769,civil_engineering,75,1000000.0,19847220256,Yunnan,Lincang,0,0,0,0,2017-03-08 22:31:00.805,2017-03-08 22:31:00.805
3000002,general_equipment_manufacturing3000002454500854,general_equipment_manufacturing,74,1000000.0,14943462953,Hubei,Huanggang,0,0,0,0,2014-12-24 23:44:36.099,2014-12-24 23:44:36.099
3000003,agriculture_food_processing3000003-1253707898,agriculture_food_processing,75,1000000.0,19820619295,Shaanxi,Changzhi,0,0,0,0,2017-10-08 00:22:08.085,2017-10-08 00:22:08.085
3000004,furniture_manufacturing3000004-98451535,furniture_manufacturing,21,1000000.0,15640416777,Shanghai,Shanghai,0,0,0,0,2015-07-16 08:58:28.218,2015-07-16 08:58:28.218
3000005,other_manufacturing3000005-1598875057,other_manufacturing,63,1000000.0,18112720703,Liaoning,Yingkou,0,0,0,0,2018-08-23 12:47:37.135,2018-08-23 12:47:37.135
3000006,eco_environmental_management3000006196808338,eco_environmental_management,77,1000000.0,18911564951,Heilongjiang,Harbin,0,0,0,0,2018-08-18 12:32:41.426,2018-08-18 12:32:41.426
3000007,broadcasting_recoding_filming3000007253896186,broadcasting_recoding_filming,71,1000000.0,15828542782,Chongqing,Chongqing,0,0,0,1,2015-07-16 01:44:55.164,2015-07-16 01:44:55.164
3000008,forestry3000008467228452,forestry,87,1000000.0,18614676387,Tianjin,Tianjin,0,0,0,0,2017-01-26 16:59:13.061,2017-01-26 16:59:13.061
3000009,promotion_service30000092080839449,promotion_service,16,1000000.0,13363829437,Guizhou,Anshun,0,0,0,0,2014-09-04 10:57:12.942,2014-09-04 10:57:12.942
3000010,social_work3000010-1990130525,social_work,63,1000000.0,13150832784,Anhui,Huangshan,0,0,0,0,2015-01-31 06:47:13.351,2015-01-31 06:47:13.351
3000011,multi_transportation_agent30000111267609016,multi_transportation_agent,59,1000000.0,16607533554,Guizhou,Qianxi,0,0,0,0,2015-07-22 02:24:03.072,2015-07-22 02:24:03.072
3000012,insurance300001273049818,insurance,11,1000000.0,17756645558,Shanghai,Shanghai,0,0,0,0,2018-01-25 19:41:09.745,2018-01-25 19:41:09.745
3000013,accommodation3000013-710246318,accommodation,97,1000000.0,14760229163,Inner_Mongolia,Tongliao,0,0,0,0,2016-01-29 02:29:01.150,2016-01-29 02:29:01.150
3000014,water_manufacturing_supply3000014680704312,water_manufacturing_supply,35,1000000.0,13433999363,Zhejiang,Quzhou,0,0,0,0,2015-08-20 16:25:17.630,2015-08-20 16:25:17.630
3000015,gas_manufacturing_supply3000015-940901194,gas_manufacturing_supply,22,1000000.0,13439457369,Hubei,Huanggang,0,0,0,0,2018-09-10 14:59:54.526,2018-09-10 14:59:54.526
